price,room_type,neighbourhood_cleansed,property_type,host_is_superhost,instant_bookable,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,availability_30,availability_60,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,total_reviews_count,days_since_last_review,reviews_last_30_days,reviews_last_90_days,reviews_last_180_days,has_recent_reviews,review_activity_score,host_experience_years,amenities_count,distance_to_center,host_response_rate_num,host_acceptance_rate_num,days_since_first_review,review_density,price_per_person,price_per_bedroom,beds_per_person
220.0,Entire home/apt,De Pijp - Rivierenbuurt,Entire rental unit,0,0,2,1.5,1.0,1.0,4,56,0.42,1,26,8,11,11,4.75,4.84,4.8,4.8,4.93,4.89,4.52,56.0,159.0,0.0,0.0,1.0,0,0.16666666666666666,12.262833675564682,25,2.233000548723564,1.0,0.42,4227.0,0.013248166548379466,110.0,220.0,0.5
196.0,Entire home/apt,Bos en Lommer,Entire rental unit,0,1,2,1.0,1.0,1.0,3,143,0.98,1,3,3,3,3,4.57,4.75,4.41,4.8,4.85,4.43,4.4,143.0,17.0,1.0,1.0,2.0,1,1.1666666666666667,12.7419575633128,30,6.106826181413678,1.0,1.0,4606.0,0.031046461137646548,98.0,196.0,0.5
212.0,Entire home/apt,De Pijp - Rivierenbuurt,Entire condo,0,0,2,1.5,1.0,1.0,5,77,0.56,1,48,0,8,38,4.91,4.92,4.87,4.99,4.99,4.82,4.75,77.0,335.0,0.0,0.0,0.0,0,0.0,12.355920602327172,44,2.29156616777734,1.0,0.5,4389.0,0.017543859649122806,106.0,212.0,0.5
160.0,Entire home/apt,De Baarsjes - Oud-West,Entire rental unit,0,0,2,1.0,1.0,1.0,2,101,0.72,1,85,5,8,11,4.75,4.88,4.91,4.97,5.0,4.88,4.68,101.0,53.0,0.0,2.0,8.0,0,2.0,12.071184120465434,53,4.205775791741581,1.0,0.23,4410.0,0.02290249433106576,80.0,160.0,0.5
225.0,Entire home/apt,Centrum-West,Entire rental unit,1,0,2,1.0,1.0,1.0,2,104,0.71,2,0,0,0,0,4.84,4.87,4.84,4.85,4.91,4.97,4.67,104.0,104.0,0.0,0.0,3.0,0,0.5,12.062970568104038,26,2.622075870240685,1.0,0.64,4604.0,0.022589052997393572,112.5,225.0,0.5
162.0,Entire home/apt,Zuid,Entire condo,0,0,2,1.0,1.0,2.0,3,95,0.65,1,4,4,4,4,4.77,4.85,4.55,4.88,4.92,4.67,4.71,95.0,158.0,0.0,0.0,2.0,0,0.3333333333333333,12.733744010951403,20,6.597758672951116,0.67,0.5,4613.0,0.020593973553002385,81.0,162.0,1.0
174.0,Entire home/apt,Watergraafsmeer,Entire townhouse,0,0,4,1.0,2.0,2.0,2,45,0.31,1,70,7,7,7,4.77,4.77,4.68,4.91,5.0,4.68,4.66,45.0,5.0,2.0,2.0,2.0,1,2.0,12.186173853524982,52,3.5682543139893403,1.0,0.4,4560.0,0.009868421052631578,43.5,87.0,0.5
276.0,Entire home/apt,Centrum-Oost,Entire rental unit,0,0,2,1.0,1.0,1.0,2,61,0.42,1,236,0,0,0,4.8,4.82,4.57,4.87,4.67,4.82,4.63,61.0,80.0,0.0,1.0,5.0,0,1.1666666666666667,12.008213552361397,24,2.0170593692056538,0.0,0.26,4549.0,0.013409540558364475,138.0,276.0,0.5
446.0,Entire home/apt,De Pijp - Rivierenbuurt,Entire condo,0,0,4,1.5,3.0,4.0,2,28,0.19,1,123,0,8,8,4.89,4.96,4.89,4.85,4.85,4.89,4.7,28.0,25.0,1.0,1.0,2.0,1,1.1666666666666667,14.036960985626283,56,1.9884028924996073,0.9,0.5,4550.0,0.006153846153846154,111.5,148.66666666666666,1.0
94.0,Private room,Oud-Noord,Private room in home,0,1,2,1.0,1.0,1.0,1,2,0.41,1,220,4,20,39,2.5,3.0,2.5,2.0,2.0,4.0,2.0,2.0,94.0,0.0,0.0,2.0,0,0.3333333333333333,11.942505133470226,8,3.6226504248266833,1.0,1.0,374.0,0.0053475935828877,47.0,94.0,0.5
553.0,Entire home/apt,De Pijp - Rivierenbuurt,Entire rental unit,0,0,4,1.0,2.0,2.0,2,48,0.35,1,59,13,29,59,4.96,4.9,4.92,4.96,4.96,4.92,4.58,48.0,723.0,0.0,0.0,0.0,0,0.0,11.93429158110883,27,2.1885175035626747,1.0,0.0,4388.0,0.010938924339106655,138.25,276.5,0.5
150.0,Entire home/apt,Oud-Noord,Houseboat,0,0,2,1.5,1.0,1.0,3,124,0.86,1,160,0,0,2,4.84,4.89,4.69,4.88,4.93,4.84,4.7,124.0,17.0,1.0,3.0,3.0,1,2.0,11.931553730321697,46,4.503328003077232,1.0,1.0,4555.0,0.027222832052689352,75.0,150.0,0.5
220.0,Entire home/apt,Centrum-West,Entire loft,0,0,2,1.0,1.0,1.0,3,75,0.52,1,4,4,4,4,4.83,4.84,4.83,4.95,4.9,5.0,4.73,75.0,123.0,0.0,0.0,2.0,0,0.3333333333333333,11.931553730321697,38,1.7369726746553416,1.0,0.87,4570.0,0.016411378555798686,110.0,220.0,0.5
270.0,Entire home/apt,De Baarsjes - Oud-West,Entire rental unit,0,0,3,1.0,1.0,1.0,3,8,0.06,1,365,30,60,90,4.38,4.43,4.57,4.29,4.57,4.71,4.29,8.0,2549.0,0.0,0.0,0.0,0,0.0,11.931553730321697,31,3.226883785403545,0.75,0.0,4571.0,0.0017501640778823015,90.0,270.0,0.3333333333333333
400.0,Entire home/apt,Geuzenveld - Slotermeer,Entire condo,0,0,4,1.0,3.0,4.0,3,63,0.44,1,359,27,54,84,4.89,4.89,4.65,4.94,4.92,4.65,4.72,63.0,59.0,0.0,1.0,1.0,0,0.5,11.931553730321697,55,7.754040600596549,1.0,1.0,4498.0,0.014006224988883948,100.0,133.33333333333334,1.0
208.0,Entire home/apt,Westerpark,Entire condo,0,0,2,1.5,1.0,1.0,4,47,0.32,1,177,27,57,87,4.96,4.98,4.94,4.96,4.98,4.68,4.77,47.0,119.0,0.0,0.0,2.0,0,0.3333333333333333,12.580424366872005,49,4.490253490360836,0.8,0.14,4571.0,0.01028221395755852,104.0,208.0,0.5
233.0,Entire home/apt,Westerpark,Entire rental unit,0,0,5,1.0,2.0,1.0,2,11,0.37,1,316,14,29,46,4.91,5.0,4.73,4.91,5.0,4.64,4.64,11.0,109.0,0.0,0.0,4.0,0,0.6666666666666666,12.177960301163587,46,3.558399801778789,1.0,0.5,1113.0,0.009883198562443846,46.6,116.5,0.2
